,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location.latitude,location.longitude,location.human_address,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,closed_date,resolution_description,resolution_action_updated_date,address_type,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
213,50048991,2021-03-18T23:37:15.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10470,4274 NAPIER AVENUE,NAPIER AVENUE,EAST  235 STREET,EAST  236 STREET,EAST  235 STREET,EAST  236 STREET,BRONX,NAPIER AVENUE,Closed,12 BRONX,2033660001,BRONX,1018862,266213,PHONE,Unspecified,BRONX,40.89729899,-73.87480292,40.89729899,-73.87480292,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",11608,29,5,40,30,2021-03-19T00:32:38.000,The Police Department issued a summons in response to the complaint.,2021-03-19T04:32:44.000,NA,NA,NA,NA,NA,NA
214,50053697,2021-03-18T23:37:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),NA,10128,3 AVENUE,3 AVENUE,EAST   95 STREET,EAST   96 STREET,NA,NA,NEW YORK,NA,Open,08 MANHATTAN,NA,MANHATTAN,998213,225224,PHONE,Unspecified,MANHATTAN,40.78485302,-73.94957893,40.78485302,-73.94957893,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",10099,23,4,1,11,NA,NA,NA,BLOCKFACE,N/A,NA,NA,NA,NA
215,50049374,2021-03-18T23:36:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10001,50 WEST   34 STREET,WEST   34 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,NEW YORK,WEST   34 STREET,Closed,05 MANHATTAN,1008357501,MANHATTAN,987661,212429,ONLINE,Unspecified,MANHATTAN,40.74974443,-73.98768921,40.74974443,-73.98768921,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",11722,11,4,51,8,2021-03-19T00:19:17.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-03-19T04:19:21.000,NA,NA,NA,NA,NA,NA
216,50053597,2021-03-18T23:36:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11237,175 STOCKHOLM STREET,STOCKHOLM STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,BROOKLYN,STOCKHOLM STREET,Closed,04 BROOKLYN,3032460043,BROOKLYN,1005733,194235,ONLINE,Unspecified,BROOKLYN,40.6997809,-73.92252284,40.6997809,-73.92252284,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13828,42,2,37,53,2021-03-19T00:35:27.000,The Police Department responded to the complaint and determined that police action was not necessary.,2021-03-19T04:35:31.000,NA,NA,NA,NA,NA,NA
217,50052828,2021-03-18T23:36:41.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11218,ALBEMARLE ROAD,ALBEMARLE ROAD,ALBEMARLE ROAD,MCDONALD AVENUE,ALBEMARLE ROAD,MCDONALD AVENUE,NA,NA,Closed,12 BROOKLYN,NA,BROOKLYN,989833,174308,MOBILE,Unspecified,BROOKLYN,40.64511007,-73.97988174,40.64511007,-73.97988174,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17620,2,2,27,39,2021-03-19T00:05:18.000,The Police Department responded to the complaint and took action to fix the condition.,2021-03-19T04:05:23.000,NA,NA,NA,NA,NA,NA
218,50051402,2021-03-18T23:36:32.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11377,37-65 61 STREET,61 STREET,38 AVENUE,39 AVENUE,38 AVENUE,39 AVENUE,WOODSIDE,61 STREET,Closed,02 QUEENS,4012160008,QUEENS,1011270,211663,MOBILE,Unspecified,QUEENS,40.74760133,-73.90248402,40.74760133,-73.90248402,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",14787,53,3,33,66,2021-03-18T23:55:37.000,The Police Department responded to the complaint and determined that police action was not necessary.,2021-03-19T03:55:40.000,NA,NA,NA,NA,NA,NA
219,50051104,2021-03-18T23:36:15.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11238,334 GRAND AVENUE,GRAND AVENUE,GREENE AVENUE,LEXINGTON AVENUE,GREENE AVENUE,LEXINGTON AVENUE,BROOKLYN,GRAND AVENUE,In Progress,02 BROOKLYN,3019657501,BROOKLYN,994669,189375,ONLINE,Unspecified,BROOKLYN,40.68646127,-73.962432,40.68646127,-73.962432,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13829,68,2,48,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,50046995,2021-03-18T23:36:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11229,2072 EAST   19 STREET,EAST   19 STREET,AVENUE T,AVENUE U,AVENUE T,AVENUE U,BROOKLYN,EAST   19 STREET,Closed,15 BROOKLYN,3073230036,BROOKLYN,997368,157879,ONLINE,Unspecified,BROOKLYN,40.60000795,-73.95276141,40.60000795,-73.95276141,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13512,32,2,15,36,2021-03-18T23:54:54.000,The Police Department reviewed your complaint and provided additional information below.,2021-03-19T03:54:58.000,NA,NA,NA,NA,NA,NA
221,50048433,2021-03-18T23:35:28.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10310,300 BROADWAY,BROADWAY,SOCIAL ACTIVIST CHARLES SMITH WY,BRITTON STREET,SOCIAL ACTIVIST CHARLES SMITH WY,BRITTON STREET,STATEN ISLAND,BROADWAY,Closed,01 STATEN ISLAND,5002060020,STATEN ISLAND,951744,170327,ONLINE,Unspecified,STATEN ISLAND,40.63412519,-74.11711564,40.63412519,-74.11711564,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",10697,4,1,13,74,2021-03-19T00:02:56.000,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2021-03-19T04:02:58.000,NA,NA,NA,NA,NA,NA
222,50046421,2021-03-18T23:35:12.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,69-30 76 STREET,76 STREET,69 ROAD,COOPER AVENUE,69 ROAD,COOPER AVENUE,MIDDLE VILLAGE,76 STREET,Closed,05 QUEENS,4037940043,QUEENS,1018884,197287,MOBILE,Unspecified,QUEENS,40.70811621,-73.87507889,40.70811621,-73.87507889,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",15309,54,3,34,62,2021-03-19T00:12:29.000,The Police Department responded to the complaint and determined that police action was not necessary.,2021-03-19T04:12:31.000,NA,NA,NA,NA,NA,NA
223,50052726,2021-03-18T23:34:57.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013,393 BROADWAY,BROADWAY,WHITE STREET,WALKER STREET,WHITE STREET,WALKER STREET,NEW YORK,BROADWAY,Closed,01 MANHATTAN,1001930045,MANHATTAN,983490,201010,ONLINE,Unspecified,MANHATTAN,40.71840271,-74.00274166,40.71840271,-74.00274166,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12076,56,4,32,1,2021-03-19T00:07:32.000,The Police Department responded to the complaint and took action to fix the condition.,2021-03-19T04:07:38.000,NA,NA,NA,NA,NA,NA
224,50052325,2021-03-18T23:34:53.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10032,76 ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST  153 STREET,EDGECOMBE AVENUE,WEST  153 STREET,EDGECOMBE AVENUE,NEW YORK,ST NICHOLAS PLACE,In Progress,09 MANHATTAN,1020540079,MANHATTAN,1000658,241522,MOBILE,Unspecified,MANHATTAN,40.82958231,-73.94071009,40.82958231,-73.94071009,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12428,37,4,36,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,50053063,2021-03-18T23:34:30.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,NA,11361,42-19 213 STREET,213 STREET,42 AVENUE,43 AVENUE,42 AVENUE,43 AVENUE,BAYSIDE,213 STREET,Closed,11 QUEENS,4062840015,QUEENS,1047625,217046,PHONE,Unspecified,QUEENS,40.76219043,-73.77122743,40.76219043,-73.77122743,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",14196,26,3,20,69,2021-03-19T00:00:52.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-03-19T04:00:53.000,NA,NA,NA,NA,NA,NA
226,50046440,2021-03-18T23:34:16.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,78-10 CYPRESS AVENUE,CYPRESS AVENUE,78 AVENUE,79 AVENUE,78 AVENUE,79 AVENUE,RIDGEWOOD,CYPRESS AVENUE,Closed,05 QUEENS,4035580030,QUEENS,1012388,192527,MOBILE,Unspecified,QUEENS,40.69507418,-73.89852913,40.69507418,-73.89852913,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",15310,54,3,34,62,2021-03-18T23:58:11.000,The Police Department issued a summons in response to the complaint.,2021-03-19T03:58:13.000,NA,NA,NA,NA,NA,NA
227,50046428,2021-03-18T23:34:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10035,117 EAST  118 STREET,EAST  118 STREET,FF WILLIAM E WOODLON PLCE,LEXINGTON AVENUE,FF WILLIAM E WOODLON PLCE,LEXINGTON AVENUE,NEW YORK,EAST  118 STREET,In Progress,11 MANHATTAN,1017670005,MANHATTAN,1000460,230843,MOBILE,Unspecified,MANHATTAN,40.80027182,-73.94145135,40.80027182,-73.94145135,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13093,7,4,36,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,50053160,2021-03-18T23:34:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10035,63 EAST  119 STREET,EAST  119 STREET,MADISON AVENUE,METRO NORTH-CONNECTING RAIL LINE,MADISON AVENUE,METRO NORTH-CONNECTING RAIL LINE,NEW YORK,EAST  119 STREET,In Progress,11 MANHATTAN,1017460025,MANHATTAN,1000075,231355,ONLINE,Unspecified,MANHATTAN,40.80167781,-73.94284072,40.80167781,-73.94284072,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13093,7,4,36,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,50050872,2021-03-18T23:34:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),NA,10036,600 WEST   42 STREET,WEST   42 STREET,11 AVE,12 AVE,NA,NA,NEW YORK,NA,Open,04 MANHATTAN,1010897502,MANHATTAN,984672,216487,ONLINE,Unspecified,MANHATTAN,40.76088326,-73.99847669,40.76088326,-73.99847669,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13094,12,4,10,6,NA,NA,NA,ADDRESS,N/A,NA,NA,NA,NA
230,50052826,2021-03-18T23:34:00.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11216,1240 PACIFIC STREET,PACIFIC STREET,BEDFORD AVENUE,NOSTRAND AVENUE,BEDFORD AVENUE,NOSTRAND AVENUE,BROOKLYN,PACIFIC STREET,In Progress,08 BROOKLYN,3012060033,BROOKLYN,997928,186185,MOBILE,Unspecified,BROOKLYN,40.67770101,-73.95068744,40.67770101,-73.95068744,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17618,16,2,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,50047014,2021-03-18T23:33:43.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10452,1299 GRAND CONCOURSE,GRAND CONCOURSE,NA,NA,NA,NA,BRONX,NA,Open,04 BRONX,2028390057,BRONX,1007600,244107,MOBILE,Unspecified,BRONX,40.83666177,-73.91561635,40.83666177,-73.91561635,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",10934,50,5,42,27,NA,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-03-18T00:00:00.000,ADDRESS,NA,NA,NA,NA,NA
232,50048770,2021-03-18T23:33:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11106,35-18 28 STREET,28 STREET,35 AVENUE,36 AVENUE,35 AVENUE,36 AVENUE,ASTORIA,28 STREET,In Progress,01 QUEENS,4003390053,QUEENS,1003294,215746,MOBILE,Unspecified,QUEENS,40.7588289,-73.93125806,40.7588289,-73.93125806,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",16863,39,3,33,72,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,50046420,2021-03-18T23:33:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11223,2411 EAST    3 STREET,EAST    3 STREET,AVENUE W,AVENUE X,AVENUE W,AVENUE X,BROOKLYN,EAST    3 STREET,Closed,15 BROOKLYN,3071790042,BROOKLYN,993268,154723,PHONE,Unspecified,BROOKLYN,40.59135049,-73.96752993,40.59135049,-73.96752993,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",18183,32,2,45,36,2021-03-18T23:51:03.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-03-19T03:51:05.000,NA,NA,NA,NA,NA,NA
234,50052017,2021-03-18T23:33:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10032,79 ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST  153 STREET,EDGECOMBE AVENUE,WEST  153 STREET,EDGECOMBE AVENUE,NEW YORK,ST NICHOLAS PLACE,In Progress,09 MANHATTAN,1020690008,MANHATTAN,1000736,241669,MOBILE,Unspecified,MANHATTAN,40.82998564,-73.94042788,40.82998564,-73.94042788,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12428,37,4,36,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,50046625,2021-03-18T23:32:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,254 EAST  203 STREET,EAST  203 STREET,VALENTINE AVENUE,BRIGGS AVENUE,VALENTINE AVENUE,BRIGGS AVENUE,BRONX,EAST  203 STREET,Closed,07 BRONX,2033080051,BRONX,1016235,257507,PHONE,Unspecified,BRONX,40.87341368,-73.88434676,40.87341368,-73.88434676,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",10936,24,5,40,34,2021-03-19T00:14:03.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-03-19T04:14:06.000,NA,NA,NA,NA,NA,NA
236,50048452,2021-03-18T23:32:51.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10462,1265 OLMSTEAD AVENUE,OLMSTEAD AVENUE,NEWBOLD AVENUE,PELHAM LINE,NEWBOLD AVENUE,PELHAM LINE,BRONX,OLMSTEAD AVENUE,Closed,09 BRONX,2038050043,BRONX,1024515,242854,MOBILE,Unspecified,BRONX,40.83316172,-73.85449551,40.83316172,-73.85449551,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",11271,58,5,31,26,2021-03-19T00:13:39.000,The Police Department responded to the complaint and determined that police action was not necessary.,2021-03-19T04:13:44.000,NA,NA,NA,NA,NA,NA
237,50051938,2021-03-18T23:32:50.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10031,828 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,NA,NA,NA,NA,NEW YORK,NA,Open,09 MANHATTAN,1020660033,MANHATTAN,1000208,241092,ONLINE,Unspecified,MANHATTAN,40.82840291,-73.94233717,40.82840291,-73.94233717,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12428,37,4,36,19,NA,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-03-18T00:00:00.000,ADDRESS,NA,NA,NA,NA,NA
238,50046578,2021-03-18T23:32:44.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11207,225 COOPER STREET,COOPER STREET,NA,NA,NA,NA,BROOKLYN,NA,Open,04 BROOKLYN,3034360047,BROOKLYN,1010569,190707,ONLINE,Unspecified,BROOKLYN,40.6900843,-73.90509589,40.6900843,-73.90509589,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17214,42,2,37,53,NA,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-03-18T00:00:00.000,ADDRESS,NA,NA,NA,NA,NA
239,50046275,2021-03-18T23:32:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11201,343 GOLD STREET,GOLD STREET,JOHNSON STREET,FLATBUSH AVENUE EXTENSION,JOHNSON STREET,FLATBUSH AVENUE EXTENSION,BROOKLYN,GOLD STREET,Closed,02 BROOKLYN,3020490002,BROOKLYN,988883,192165,ONLINE,Unspecified,BROOKLYN,40.69412409,-73.98329278,40.69412409,-73.98329278,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",16865,68,2,48,54,2021-03-19T00:16:48.000,The Police Department responded to the complaint and took action to fix the condition.,2021-03-19T04:16:51.000,NA,NA,NA,NA,NA,NA
240,50050765,2021-03-18T23:32:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10032,87 ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST  153 STREET,EDGECOMBE AVENUE,WEST  153 STREET,EDGECOMBE AVENUE,NEW YORK,ST NICHOLAS PLACE,In Progress,09 MANHATTAN,1020690014,MANHATTAN,1000782,241749,MOBILE,Unspecified,MANHATTAN,40.83020513,-73.94026146,40.83020513,-73.94026146,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12428,37,4,36,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,50048023,2021-03-18T23:32:08.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Sewage Odor,3+ Family Apt. Building,11237,194 WILSON AVENUE,WILSON AVENUE,DEKALB AVENUE,STOCKHOLM STREET,DEKALB AVENUE,STOCKHOLM STREET,BROOKLYN,WILSON AVENUE,In Progress,04 BROOKLYN,3032450037,BROOKLYN,1005545,194044,PHONE,Unspecified,BROOKLYN,40.6992571,-73.92320145,40.6992571,-73.92320145,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",18181,42,2,37,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,50052798,2021-03-18T23:32:07.000,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Toilet Facility,Restaurant/Bar/Deli/Bakery,10003,20 EAST   14 STREET,EAST   14 STREET,5 AVENUE,UNION SQUARE WEST,5 AVENUE,UNION SQUARE WEST,NEW YORK,EAST   14 STREET,In Progress,02 MANHATTAN,1005710013,MANHATTAN,986292,207271,ONLINE,Unspecified,MANHATTAN,40.73558743,-73.99263169,40.73558743,-73.99263169,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",11724,57,4,50,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,50048050,2021-03-18T23:32:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,41-53 77 STREET,77 STREET,GUILLERMO VASQUEZ CORNER,WOODSIDE AVENUE,GUILLERMO VASQUEZ CORNER,WOODSIDE AVENUE,ELMHURST,77 STREET,In Progress,04 QUEENS,4014970051,QUEENS,1015246,210508,ONLINE,Unspecified,QUEENS,40.74441811,-73.88813985,40.74441811,-73.88813985,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",14784,66,3,5,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,50051708,2021-03-18T23:31:46.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10013,393 BROADWAY,BROADWAY,WHITE STREET,WALKER STREET,WHITE STREET,WALKER STREET,NEW YORK,BROADWAY,Closed,01 MANHATTAN,1001930045,MANHATTAN,983490,201010,ONLINE,Unspecified,MANHATTAN,40.71840271,-74.00274166,40.71840271,-74.00274166,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12076,56,4,32,1,2021-03-19T00:07:54.000,The Police Department responded to the complaint and took action to fix the condition.,2021-03-19T04:07:59.000,NA,NA,NA,NA,NA,NA
245,50052209,2021-03-18T23:31:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10465,717 REVERE AVENUE,REVERE AVENUE,RANDALL AVENUE,BILL TWOMEY PLACE,RANDALL AVENUE,BILL TWOMEY PLACE,BRONX,REVERE AVENUE,Closed,10 BRONX,2055440107,BRONX,1033104,240255,ONLINE,Unspecified,BRONX,40.82598489,-73.82347669,40.82598489,-73.82347669,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",11274,43,5,12,28,2021-03-19T00:13:07.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-03-19T04:13:11.000,NA,NA,NA,NA,NA,NA
246,50047482,2021-03-18T23:31:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10003,40E EAST   12 STREET,EAST   12 STREET,UNIVERSITY PLACE,FRED BASS WAY,UNIVERSITY PLACE,FRED BASS WAY,NEW YORK,EAST   12 STREET,Closed,02 MANHATTAN,NA,MANHATTAN,986404,206574,ONLINE,Unspecified,MANHATTAN,40.73367431,-73.99222778,40.73367431,-73.99222778,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",11724,57,4,50,3,2021-03-18T23:48:00.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-03-19T03:48:05.000,NA,NA,NA,NA,NA,NA
247,50047927,2021-03-18T23:31:20.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11216,1273 PACIFIC STREET,PACIFIC STREET,BEDFORD AVENUE,NOSTRAND AVENUE,BEDFORD AVENUE,NOSTRAND AVENUE,BROOKLYN,PACIFIC STREET,In Progress,08 BROOKLYN,3012000052,BROOKLYN,997939,186190,MOBILE,Unspecified,BROOKLYN,40.67771471,-73.95064777,40.67771471,-73.95064777,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17618,16,2,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,50049984,2021-03-18T23:31:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10039,2816 8 AVENUE,8 AVENUE,WEST  149 STREET,MACOMBS PLACE,WEST  149 STREET,MACOMBS PLACE,NEW YORK,8 AVENUE,In Progress,10 MANHATTAN,1020350001,MANHATTAN,1001027,240171,ONLINE,Unspecified,MANHATTAN,40.82587351,-73.93938009,40.82587351,-73.93938009,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13097,18,4,36,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,50051153,2021-03-18T23:30:48.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11415,85-29 121 STREET,121 STREET,85 AVENUE,HILLSIDE AVENUE,85 AVENUE,HILLSIDE AVENUE,KEW GARDENS,121 STREET,Closed,09 QUEENS,4092670028,QUEENS,1031427,195380,PHONE,Unspecified,QUEENS,40.70282397,-73.8298511,40.70282397,-73.8298511,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",24011,46,3,28,60,2021-03-19T00:19:01.000,The Police Department issued a summons in response to the complaint.,2021-03-19T04:19:06.000,NA,NA,NA,NA,NA,NA
250,50052861,2021-03-18T23:30:13.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,49 EAST   19 STREET,EAST   19 STREET,NA,NA,NA,NA,BROOKLYN,NA,Open,14 BROOKLYN,3051000051,BROOKLYN,994827,175473,ONLINE,Unspecified,BROOKLYN,40.64830319,-73.96188411,40.64830319,-73.96188411,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13510,60,2,11,43,NA,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2021-03-18T00:00:00.000,ADDRESS,NA,NA,NA,NA,NA
251,50050712,2021-03-18T23:29:37.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11218,680 EAST    3 STREET,EAST    3 STREET,DITMAS AVENUE,AVENUE F,DITMAS AVENUE,AVENUE F,BROOKLYN,EAST    3 STREET,Closed,12 BROOKLYN,3053960013,BROOKLYN,990951,170687,PHONE,Unspecified,BROOKLYN,40.63517043,-73.97585664,40.63517043,-73.97585664,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",17620,2,2,27,39,2021-03-19T00:15:01.000,The Police Department responded to the complaint and took action to fix the condition.,2021-03-19T04:15:06.000,NA,NA,NA,NA,NA,NA
252,50048846,2021-03-18T23:28:45.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11203,4822 CHURCH AVENUE,CHURCH AVENUE,EAST   48 STREET,EAST   49 STREET,EAST   48 STREET,EAST   49 STREET,BROOKLYN,CHURCH AVENUE,Closed,17 BROOKLYN,3046960009,BROOKLYN,1003109,176698,ONLINE,Unspecified,BROOKLYN,40.65165178,-73.9320352,40.65165178,-73.9320352,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",16866,61,2,26,40,2021-03-19T00:09:23.000,The Police Department responded to the complaint and took action to fix the condition.,2021-03-19T04:09:28.000,NA,NA,NA,NA,NA,NA
253,50051185,2021-03-18T23:28:13.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,1-2 Family Dwelling,10027,136 WEST  121 STREET,WEST  121 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,NEW YORK,WEST  121 STREET,In Progress,10 MANHATTAN,1019050050,MANHATTAN,998483,232828,ONLINE,Unspecified,MANHATTAN,40.8057235,-73.94858783,40.8057235,-73.94858783,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",12424,18,4,36,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,50052775,2021-03-18T23:28:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),NA,10036,NA,NA,NA,NA,11 AVENUE,WEST 43 STREET,NEW YORK,NA,Open,04 MANHATTAN,NA,MANHATTAN,984854,216712,PHONE,Unspecified,MANHATTAN,40.76150081,-73.99781969,40.76150081,-73.99781969,"{""address"": """""," ""city"": """""," ""state"": """""," ""zip"": """"}",13094,12,4,10,10,NA,NA,NA,INTERSECTION,N/A,NA,NA,NA,NA
